Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud;Texto Cajetines;Longitud;Latitud;dir
440692,7900000000;4474275,1600000000;11/06/2021;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;10;PMR;Línea;1;5,8;LABORABLES  DE 7,30 A 20 H.;-3.699059618;40.416989356;ARLABAN, CALLE, DE10
440929,2900000000;4473603,9700000000;02/07/2019;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;95;PMR;Línea;1;7,7;;-3.69620984;40.410959204;ATOCHA, CALLE, DE95
441048,5300000000;4473534,7100000000;02/07/2019;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;111;PMR;Batería;2;6,5;;-3.69479813;40.41034442;ATOCHA, CALLE, DE111
440411,8800000000;4474006,1200000000;09/03/2005;01  CENTRO;01-03 CORTES;ESPOZ Y MINA, CALLE, DE;40;PMR;Línea;2;10;;-3.702345359;40.414545003;ESPOZ Y MINA, CALLE, DE40
440971,8600000000;4473928,7000000000;03/05/2011;01  CENTRO;01-03 CORTES;JESUS, PLAZA, DE;5;PMR;Línea;1;5,5;;-3.695738296;40.413887706;JESUS, PLAZA, DE5
440889,8100000000;4474304,5200000000;17/02/2022;01  CENTRO;01-03 CORTES;JOVELLANOS, CALLE, DE;4;PMR;Línea;1;8;EN HORARIO DE ESPECTÁCULOS;-3.69674017;40.417267126;JOVELLANOS, CALLE, DE4
440671,3800000000;4473836,7900000000;16/04/2012;01  CENTRO;01-03 CORTES;LEON, CALLE, DEL;28;PMR;Línea;1;5;;-3.699271097;40.413038812;LEON, CALLE, DEL28
440773,1200000000;4473921,8100000000;03/05/2011;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;13;PMR;Línea;1;5,6;;-3.698079975;40.413811617;LOPE DE VEGA, CALLE, DE13
440943,7800000000;4473907,8200000000;03/06/1996;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;37;PMR;Línea;2;10,1;;-3.696067289;40.413697942;LOPE DE VEGA, CALLE, DE37
440923,9000000000;4474348,6500000000;27/11/2014;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;19;PMR;Línea;1;5,5;laborables de8 a 15 h.;-3.69634248;40.417667165;LOS MADRAZO, CALLE, DE19
440941,4900000000;4474362,7200000000;29/07/2019;01  CENTRO;01-03 CORTES;MARQUES DE CASA RIERA, CALLE, DEL;4;PMR;Línea;1;7;;-3.696136559;40.417795679;MARQUES DE CASA RIERA, CALLE, DEL4
440958,5700000000;4474162,2300000000;01/10/2018;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;27;PMR;Línea;1;5;;-3.695916601;40.415990347;MARQUES DE CUBAS, CALLE, DEL27
440804,4500000000;4474070,1200000000;18/06/2018;01  CENTRO;01-03 CORTES;PRADO, CALLE, DEL;24;PMR;Línea;2;11;;-3.697724569;40.415150047;PRADO, CALLE, DEL24
440809,7200000000;4473967,2600000000;21/10/2009;01  CENTRO;01-03 CORTES;QUEVEDO, CALLE, DE;1;PMR;Línea;1;7,11;;-3.697652892;40.41422386;QUEVEDO, CALLE, DE1
440878,5700000000;4474045,3000000000;13/07/2009;01  CENTRO;01-03 CORTES;SAN AGUSTIN, CALLE, DE;5;PMR;Línea;1;5,5;;-3.696848574;40.414931578;SAN AGUSTIN, CALLE, DE5
441015,1800000000;4474891,5300000000;08/09/2022;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;3;PMR;Línea;1;5,7;;-3.695317;40.422564464;ALMIRANTE, CALLE, DEL3
441264,0800000000;4474882,0500000000;08/09/2022;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29;PMR;Línea;1;6,6;;-3.692382311;40.422497027;ALMIRANTE, CALLE, DEL29
440670,7300000000;4475433,4500000000;08/06/2022;01  CENTRO;01-04 JUSTICIA;APODACA, CALLE, DE;15;PMR;Línea;1;8,17;;-3.699427801;40.427421599;APODACA, CALLE, DE15
441021,2700000000;4475146,5400000000;05/10/2016;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;3;PMR;Línea;1;5,6;;-3.695268929;40.424862713;ARGENSOLA, CALLE, DE3
